cited_cluster_id,citing_cluster_id,citing_court_id
85272,4211997,utah
85272,2633586,arizctapp
85272,2200814,flmb
85272,2507817,gactapp
85272,2182197,minn
85272,2401598,hid
85272,2350360,ctd
85272,2174224,nj
85272,2414949,ctd
85272,2181574,md
85272,296637,cadc
85272,2511991,orctapp
85272,2418852,nysd
85272,2496100,mssd
85272,2336432,vt
85272,3563207,mont
85272,2254604,ohnd
85272,2508057,cand
85272,2401783,ded
85272,2252646,vaed
85272,2513181,insd
85272,2808634,pa
85272,10237815,wawd
85272,3563201,mont
85272,2417712,moctapp
85272,2501655,cacd
85272,2407432,vaed
85272,2812589,scotus
85272,2359242,nysd
85272,2447908,dcd
85272,6564014,mass
85272,2340117,kywd
85272,2593739,nev
85272,2341226,laed
85272,3040378,ca9
85272,2433555,insd
85272,2631908,wash
85272,2522907,dcd
85272,2356640,ilnd
85272,2801433,scotus
85272,2343428,mied
85272,2364271,dc
85272,3050948,ca9
85272,4214626,utah
85272,2807861,cadc
